iteration: 5593
total_loss: 1324.13378906
value_loss: 662.08007812
action_loss: 662.05371094
best_loss: 842.07751465
best_idx: 2592
improvement_counter: 3001
training_reward_count: 5594
training_rewards:
  iteration: 104 | eps_b: 0 | mean_reward: -9.72809601 | std_reward: 9.85156631 | agent_mean_rewards: [ -8.293026, -10.172825, -10.108657,  -9.757512, -10.30846 ]
  iteration: 105 | eps_b: 0 | mean_reward: -9.93272400 | std_reward: 10.10507488 | agent_mean_rewards: [-10.053222, -10.476404, -10.260182,  -8.731301, -10.142513]
  iteration: 106 | eps_b: 0 | mean_reward: -9.49815464 | std_reward: 9.59695053 | agent_mean_rewards: [ -8.698796,  -9.036887, -10.3272  ,  -9.534576,  -9.893311]
  iteration: 107 | eps_b: 0 | mean_reward: -9.91687298 | std_reward: 10.26763344 | agent_mean_rewards: [ -8.93762 , -10.683777, -10.121765,  -9.220193, -10.621007]
  iteration: 108 | eps_b: 0 | mean_reward: -9.25463963 | std_reward: 10.20801926 | agent_mean_rewards: [ -9.587532, -10.295444,  -8.806654,  -7.946982,  -9.636584]
  iteration: 109 | eps_b: 0 | mean_reward: -9.69411755 | std_reward: 9.95768452 | agent_mean_rewards: [ -9.440911,  -9.435295,  -9.770184,  -9.137632, -10.686571]
  iteration: 110 | eps_b: 0 | mean_reward: -9.09829807 | std_reward: 9.37165356 | agent_mean_rewards: [ -9.718286, -10.040251,  -7.135951,  -8.848482,  -9.748518]
  iteration: 111 | eps_b: 0 | mean_reward: -9.34530163 | std_reward: 8.69007683 | agent_mean_rewards: [-9.347554, -9.456566, -8.794297, -9.377292, -9.750799]
  iteration: 112 | eps_b: 0 | mean_reward: -9.51995087 | std_reward: 10.03082466 | agent_mean_rewards: [-10.026049,  -8.938164,  -9.973328,  -9.055575,  -9.606634]
  iteration: 113 | eps_b: 0 | mean_reward: -9.03671455 | std_reward: 8.79356003 | agent_mean_rewards: [-9.315886, -9.223641, -7.809937, -8.867747, -9.96636 ]
  iteration: 114 | eps_b: 0 | mean_reward: -9.23721123 | std_reward: 9.01885509 | agent_mean_rewards: [-9.684972, -9.004974, -8.866911, -9.115989, -9.51321 ]
  iteration: 115 | eps_b: 0 | mean_reward: -9.60090637 | std_reward: 9.39038563 | agent_mean_rewards: [ -7.446852,  -9.402489, -10.146438, -10.535202, -10.473552]
  iteration: 116 | eps_b: 0 | mean_reward: -9.27603340 | std_reward: 9.25406551 | agent_mean_rewards: [-10.529793,  -8.955882,  -9.035664,  -7.352433, -10.506391]
  iteration: 117 | eps_b: 0 | mean_reward: -9.85866833 | std_reward: 10.02958584 | agent_mean_rewards: [-10.602406, -10.143475,  -9.42313 ,  -8.779134, -10.345193]
  iteration: 118 | eps_b: 0 | mean_reward: -9.55982304 | std_reward: 9.85960293 | agent_mean_rewards: [-10.944649,  -9.982519,  -9.346083,  -8.686943,  -8.838919]
  iteration: 119 | eps_b: 0 | mean_reward: -9.48414898 | std_reward: 9.99613762 | agent_mean_rewards: [ -7.962618,  -9.543408,  -9.517372,  -9.76766 , -10.629684]
  iteration: 120 | eps_b: 0 | mean_reward: -9.15023136 | std_reward: 9.56048775 | agent_mean_rewards: [ -9.66971 ,  -8.363829,  -9.283745,  -8.386817, -10.047057]
  iteration: 121 | eps_b: 0 | mean_reward: -9.51326180 | std_reward: 10.18826103 | agent_mean_rewards: [ -9.670324,  -9.034741,  -9.323324,  -9.310057, -10.227861]
  iteration: 122 | eps_b: 0 | mean_reward: -9.47838020 | std_reward: 9.47560120 | agent_mean_rewards: [ -9.286501,  -9.691328, -10.165751,  -8.837646,  -9.410675]
  iteration: 123 | eps_b: 0 | mean_reward: -9.86482716 | std_reward: 10.78448486 | agent_mean_rewards: [ -9.971126,  -9.443295,  -9.449303,  -9.739023, -10.72139 ]
  iteration: 124 | eps_b: 0 | mean_reward: -9.15583324 | std_reward: 9.35583973 | agent_mean_rewards: [-9.070923, -9.895831, -9.69238 , -8.683121, -8.436912]
  iteration: 125 | eps_b: 0 | mean_reward: -9.86958504 | std_reward: 10.74188805 | agent_mean_rewards: [ -7.821303,  -9.648703,  -9.242632, -10.419308, -12.215977]
  iteration: 126 | eps_b: 0 | mean_reward: -9.07270050 | std_reward: 9.08688354 | agent_mean_rewards: [-8.747505, -9.676339, -9.854566, -8.298155, -8.786937]
